id,item_name,people_id
790,chair,22349
791,book,81230
792,car,19369
793,car,4138
794,book,14404
795,pc,41116
796,phone,90505
797,pc,80147
798,phone,96447
799,iphone,18098
800,book,42604
801,iphone,49391
802,laptop,
803,phone,44869
804,book,94493
805,iphone,90873
806,laptop,25200
807,pc,39124
808,pc,39008
809,car,27168
810,iphone,41555
811,phone,94589
812,laptop,75166
813,iphone,51712
814,car,19198
815,laptop,93603
816,chair,57983
817,iphone,62793
818,pc,70592
819,laptop,91248
820,laptop,80698
821,iphone,31779
822,chair,69604
823,pc,6880
824,chair,94025
825,phone,18018
826,chair,
827,pc,62350
828,phone,99078
829,laptop,84659
830,chair,11725
831,iphone,70143
832,iphone,4888
833,pc,23040
834,chair,
835,phone,24420
836,iphone,
837,laptop,1214
838,laptop,14064
839,laptop,84058
840,book,17589
841,car,35761
842,pc,43343
843,pc,84972
844,laptop,1846
845,iphone,38669
846,book,25318
847,pc,83719
848,phone,67538
849,laptop,87720
850,chair,18430
851,phone,32512
852,chair,30870
853,phone,43204
854,laptop,75088
855,chair,47127
856,iphone,87528
857,chair,20934
858,phone,92216
859,car,15389
860,iphone,38671
861,laptop,28721
862,pc,59634
863,iphone,
864,laptop,71989
865,phone,87044
866,car,32435
867,iphone,10730
868,book,92244
869,laptop,73946
870,chair,71781
871,book,70341
872,pc,68202
873,phone,26922
874,iphone,11919
875,book,7292
876,phone,54450
877,phone,73242
878,phone,40392
879,iphone,33352
880,car,28560
881,book,55534
882,laptop,70931
883,chair,9046
884,phone,53591
885,pc,84085
886,iphone,55097
887,laptop,
888,phone,49479
889,phone,86742
890,car,85660
891,car,23392
892,book,16691
893,iphone,
894,car,2979
895,laptop,94253
896,book,49712
897,car,60375
898,laptop,24704
899,iphone,4222
900,car,80599
901,car,2050
902,pc,13224
903,book,78352
904,iphone,6380
905,pc,52725
906,phone,28477
907,car,7398
908,pc,37914
909,pc,95881
910,book,78370
911,car,42030
912,pc,18777
913,iphone,54206
914,laptop,72970
915,book,22955
916,iphone,72856
917,phone,45143
918,iphone,68742
919,laptop,53511
920,pc,24101
921,car,31584
922,car,92743
923,pc,7552
924,book,54592
925,book,50910
926,pc,43288
927,iphone,58954
928,car,70206
929,iphone,6755
930,laptop,79294
931,book,9539
932,pc,77015
933,iphone,28444
934,phone,43642
935,laptop,
936,chair,24906
937,iphone,98871
938,phone,91177
939,book,51987
940,pc,37101
941,phone,85029
942,laptop,47139
943,book,61080
944,chair,94688
945,phone,41973
946,pc,54254
947,chair,29002
948,iphone,34180
949,book,75909
950,iphone,19976
951,pc,49786
952,book,65444
953,book,89764
954,laptop,64044
955,iphone,64303
956,phone,46160
957,pc,71636
958,phone,71058
959,iphone,
960,book,9742
961,car,836
962,phone,82667
963,pc,19795
964,chair,59770
965,laptop,83588
966,iphone,63334
967,iphone,866
968,book,1553
969,chair,36010
970,book,
971,chair,91469
972,iphone,23496
973,chair,68732
974,pc,81235
975,book,46457
976,laptop,10357
977,laptop,
978,phone,91388
979,pc,10566
980,iphone,
981,iphone,12255
982,phone,72443
983,phone,1238
984,iphone,65517
985,car,43420
986,book,
987,chair,5577
988,pc,90739
989,book,6102
990,chair,36749
991,book,4312
992,pc,41220
993,chair,
994,book,93416
995,car,10084
996,laptop,31519
997,book,51007
998,iphone,43480
999,phone,18343
1000,car,
1001,iphone,97708
1002,laptop,57290
1003,pc,44642
1004,book,78067
1005,phone,
1006,laptop,35825
1007,car,
1008,phone,72487
1009,phone,89088
1010,book,11232
1011,car,32302
1012,iphone,35123
1013,pc,83086
1014,pc,41507
1015,laptop,680
1016,laptop,99791
1017,laptop,11442
1018,pc,73005
1019,book,13538
1020,chair,72642
1021,chair,42523
1022,car,38253
1023,phone,11101
1024,iphone,31816
1025,book,89825
1026,phone,35247
1027,laptop,19127
1028,chair,36170
1029,phone,10082
1030,laptop,32321
1031,iphone,77831
1032,book,14021
1033,pc,51864
1034,laptop,49792
1035,car,57700
1036,laptop,85332
1037,book,42030
1038,book,26326
1039,phone,52198
1040,laptop,91089
1041,iphone,75481
1042,car,49290
1043,laptop,51502
1044,laptop,73905
1045,pc,71516
1046,pc,72102
1047,chair,
1048,phone,27479
1049,phone,90811
1050,chair,53627
1051,iphone,83012
1052,laptop,86332
1053,pc,49412
1054,chair,78372
1055,phone,70040
1056,book,90663
1057,phone,47124
1058,iphone,70373
1059,book,11138
1060,chair,86193
1061,iphone,84803
1062,book,84545
1063,iphone,98655
1064,laptop,
1065,phone,12924
1066,laptop,97891
1067,book,90133
1068,book,49036
1069,phone,89070
1070,book,19758
1071,laptop,
1072,phone,54522
1073,chair,95702
1074,pc,44966
1075,phone,68303
1076,phone,12795
1077,phone,59303
1078,laptop,5856
1079,car,2960
1080,car,14334
1081,iphone,97057
1082,pc,72339
1083,pc,55885
1084,phone,53090
1085,iphone,83948
1086,iphone,3826
1087,iphone,25863
1088,phone,50965
1089,chair,26972
1090,laptop,8200
1091,book,70371
1092,pc,25830
1093,phone,87910
1094,car,83769
1095,laptop,80125
1096,phone,45603
1097,laptop,80918
1098,pc,92535
1099,car,80541
1100,book,17556
1101,laptop,40026
1102,chair,90890
1103,pc,54819
1104,book,50293
1105,phone,83296
1106,book,84575
1107,pc,64178
1108,laptop,41232
1109,car,7026
1110,car,1256
1111,phone,50324
1112,book,64876
1113,phone,54477
1114,iphone,64054
1115,pc,4044
1116,car,38284
1117,chair,70465
1118,laptop,59942
1119,book,64921
1120,book,75066
1121,chair,71186
1122,car,
1123,book,5453
1124,car,71611
1125,pc,
1126,chair,85678
1127,car,4224
1128,phone,11401
1129,phone,15386
1130,car,27509
1131,car,90326
1132,laptop,79988
1133,iphone,80760
1134,pc,27124
1135,car,45982
1136,book,70617
1137,pc,92281
1138,laptop,35041
1139,car,89037
1140,car,98316
1141,car,7770
1142,laptop,16631
1143,iphone,32725
1144,pc,32447
1145,car,51472
1146,phone,82890
1147,laptop,49174
1148,phone,12202
1149,phone,36467
1150,iphone,48374
1151,phone,
1152,laptop,96039
1153,chair,60089
1154,iphone,46952
1155,car,70048
1156,phone,56314
1157,car,35197
1158,laptop,44270
1159,book,74205
1160,car,45054
1161,iphone,6021
1162,chair,60238
1163,chair,20707
1164,phone,56072
1165,pc,
1166,pc,39566
1167,pc,35916
1168,chair,32819
1169,chair,85054
1170,pc,81999
1171,laptop,98989
1172,pc,11953
1173,iphone,27973
1174,phone,77814
1175,pc,58335
1176,chair,45032
1177,car,55353
1178,iphone,9283
1179,pc,95782
1180,car,41071
1181,laptop,17973
1182,phone,98717
1183,car,88753
1184,pc,73831
1185,chair,21511
1186,phone,27925
1187,iphone,53963
1188,book,28474
1189,chair,18351
1190,car,95683
1191,phone,56280
1192,laptop,32477
1193,laptop,32527
1194,book,94526
1195,book,90502
1196,chair,86298
1197,laptop,79551
1198,book,51347
1199,laptop,31370
1200,phone,31599
1201,phone,9307
1202,book,1581
1203,laptop,17299
1204,phone,74498
1205,phone,89514
1206,pc,9567
1207,chair,1807
1208,laptop,7925
1209,car,37550
1210,iphone,54451
1211,phone,10803
1212,iphone,80746
1213,pc,40620
1214,chair,26633
1215,car,42827
1216,phone,85175
1217,iphone,40654
1218,iphone,31278
1219,chair,56948
1220,chair,79800
1221,chair,97215
1222,iphone,15655
1223,chair,91946
1224,chair,45443
1225,book,94472
1226,laptop,16637
1227,iphone,35227
1228,iphone,3847
1229,laptop,35649
1230,book,93365
1231,book,65031
1232,phone,7266
1233,phone,21873
1234,laptop,13487
1235,book,15117
1236,pc,336
1237,chair,1610
1238,pc,47707
1239,phone,23456
1240,car,93588
1241,iphone,29427
1242,laptop,94409
1243,laptop,10208
1244,book,65803
1245,iphone,23507
1246,pc,6019
1247,phone,60960
1248,car,40723
1249,laptop,59866
1250,chair,38219
1251,book,96937
1252,book,48270
1253,book,
1254,car,96005
1255,book,32129
1256,pc,53744
1257,chair,45406
1258,iphone,1257
1259,laptop,86154
1260,phone,95317
1261,laptop,69443
1262,pc,7850
1263,pc,12193
1264,chair,68125
1265,phone,48823
1266,phone,
1267,chair,66247
1268,pc,51688
1269,chair,8163
1270,phone,17132
1271,pc,41288
1272,car,96384
1273,laptop,35645
1274,pc,26569
1275,pc,76638
1276,chair,21544
1277,phone,53282
1278,chair,27215
1279,phone,34735
1280,car,20658
1281,car,92367
1282,iphone,28183
1283,car,19441
1284,chair,46627
1285,phone,88759
1286,laptop,22789
1287,chair,
1288,car,98052
1289,book,60560
1290,chair,18322
1291,chair,29135
1292,pc,52505
1293,laptop,84500
1294,chair,33924
1295,car,8450
1296,pc,58121
1297,car,43456
1298,chair,60423
1299,chair,75220
1300,phone,51773
1301,phone,89550
1302,phone,28143
1303,pc,58459
1304,pc,81156
1305,book,38680
1306,phone,72179
1307,phone,36670
1308,phone,26143
1309,iphone,68919
1310,pc,71258
1311,car,50134
1312,car,62873
1313,book,45093
1314,book,50905
1315,laptop,41795
1316,book,36822
1317,chair,61824
1318,book,76544
1319,pc,
1320,chair,31608
1321,laptop,96607
1322,chair,28758
1323,book,50911
1324,laptop,22768
1325,pc,41681
1326,car,47026
1327,book,91823
1328,laptop,73873
1329,pc,24672
1330,car,
1331,phone,23010
1332,phone,7362
1333,pc,2612
1334,book,43481
1335,book,17103
1336,laptop,42413
1337,chair,76888
1338,iphone,14538
1339,car,47826
1340,chair,86787
1341,phone,44113
1342,laptop,20644
1343,iphone,83789
1344,phone,22833
1345,iphone,
1346,iphone,80440
1347,car,87232
1348,book,49595
1349,laptop,38602
1350,pc,235
1351,iphone,51327
1352,car,
1353,book,78956
1354,laptop,80134
1355,pc,13645
1356,phone,97693
1357,chair,41879
1358,pc,11629
1359,car,83768
1360,iphone,58540
1361,chair,32707
1362,iphone,33640
1363,car,167
1364,chair,96021
1365,phone,
1366,phone,49638
1367,laptop,13294
1368,car,75766
1369,iphone,29567
1370,pc,4379
1371,laptop,34226
1372,chair,22296
1373,phone,9830
1374,book,12203
1375,laptop,80431
1376,phone,56534
1377,iphone,56911
1378,pc,43397
1379,pc,
1380,phone,94638
1381,iphone,86585
1382,laptop,12571
1383,chair,72045
1384,car,7144
1385,laptop,11485
1386,laptop,81931
1387,book,12712
1388,chair,83648
1389,laptop,
1390,phone,40416
1391,car,64106
1392,iphone,84130
1393,book,48630
1394,phone,58428
1395,chair,60956
1396,laptop,35200
1397,book,98596
1398,iphone,11233
1399,iphone,70968
1400,phone,
1401,book,7993
1402,car,68495
1403,phone,
1404,iphone,62236
1405,book,62424
1406,laptop,93625
1407,chair,67740
1408,car,81300
1409,pc,99246
1410,phone,21910
1411,pc,16539
1412,chair,89538
1413,phone,82211
1414,pc,33801
1415,laptop,8783
1416,chair,52082
1417,book,36202
1418,book,1620
1419,car,77014
1420,book,14748
1421,phone,74264
1422,book,13133
1423,chair,13237
1424,car,70206
1425,laptop,34620
1426,phone,74976
1427,book,22570
1428,laptop,81034
1429,book,52654
1430,chair,43449
1431,iphone,97746
1432,phone,48816
1433,chair,39722
1434,laptop,64437
1435,car,12873
1436,car,39384
1437,iphone,42056
1438,laptop,79295
1439,iphone,57896
1440,pc,53368
1441,iphone,67698
1442,car,7367
1443,book,8600
1444,laptop,52872
1445,pc,68719
1446,book,25265
1447,car,7553
1448,pc,6626
1449,laptop,35910
1450,laptop,66207
1451,phone,16236
1452,iphone,48819
1453,phone,23276
1454,car,72264
1455,laptop,33903
1456,iphone,11847
1457,laptop,6507
1458,pc,28091
1459,car,29505
1460,iphone,85404
1461,phone,89417
1462,chair,17342
1463,iphone,1109
1464,pc,40037
1465,iphone,
1466,iphone,49345
1467,car,33029
1468,pc,88761
1469,book,52055
1470,book,67045
1471,iphone,
1472,car,84848
1473,book,39121
1474,iphone,8367
1475,laptop,
1476,iphone,36291
1477,laptop,85389
1478,laptop,67802
1479,car,7441
1480,car,78647
1481,phone,89228
1482,pc,85904
1483,phone,
1484,laptop,53031
1485,phone,76418
1486,iphone,
1487,car,95230
1488,iphone,70075
1489,iphone,88063
1490,laptop,22280
1491,car,73170
1492,pc,61706
1493,pc,95051
1494,car,23995
1495,iphone,85778
1496,chair,29272
1497,iphone,55112
1498,car,48717
1499,laptop,60786
1500,car,7035
1501,car,76062
1502,book,25499
1503,book,89220
1504,phone,54146
1505,chair,19762
1506,pc,
1507,laptop,74632
1508,phone,93804
1509,pc,63908
1510,laptop,23176
1511,laptop,617
1512,phone,99771
1513,car,20766
1514,phone,11539
1515,pc,83032
1516,phone,62573
1517,phone,69963
1518,pc,1845
1519,laptop,69603
1520,pc,540
1521,iphone,29657
1522,iphone,40906
1523,pc,65973
1524,book,8557
1525,car,38119
1526,phone,78167
1527,book,90017
1528,pc,64248
1529,laptop,21611
1530,car,29939
1531,pc,17197
1532,pc,77292
1533,book,48049
1534,iphone,4897
1535,phone,33526
1536,car,6368
1537,book,
1538,iphone,2587
1539,chair,54627
1540,phone,71733
1541,laptop,20070
1542,pc,82616
1543,chair,86725
1544,chair,35386
1545,book,17978
1546,phone,13751
1547,book,15431
1548,laptop,13928
1549,phone,26181
1550,car,68569
1551,pc,53707
1552,laptop,71845
1553,phone,90204
1554,phone,358
1555,chair,14474
1556,car,64763
1557,pc,67070
1558,chair,13276
1559,laptop,59867
1560,laptop,6564
1561,chair,5170
1562,car,88705
1563,laptop,15191
1564,chair,6014
1565,chair,86947
1566,iphone,46861
1567,phone,
1568,laptop,12183
1569,laptop,23969
1570,chair,59839
1571,laptop,90426
1572,car,55278
1573,iphone,21860
1574,chair,95212
1575,chair,
1576,car,54529
1577,book,74572
1578,iphone,80127
1579,phone,80131
1580,chair,95325
1581,pc,63979
1582,chair,57761
1583,chair,85848
1584,laptop,88857
1585,book,75582
1586,iphone,87797
1587,car,68564
1588,iphone,12483
1589,phone,32581
1590,phone,88643
1591,iphone,73183
1592,book,84331
1593,pc,61510
1594,car,21679
1595,chair,42026
1596,pc,36458
1597,chair,72154
1598,iphone,30801
1599,chair,75108
1600,phone,65333
1601,phone,65191
1602,iphone,13453
1603,phone,73024
1604,book,11913
1605,car,81142
1606,iphone,66628
1607,book,88011
1608,phone,
1609,laptop,29218
1610,car,73420
1611,car,62014
1612,iphone,93836
1613,phone,99525
1614,iphone,44742
1615,laptop,38270
1616,book,92025
1617,chair,21516
1618,phone,93959
1619,iphone,14019
1620,laptop,24581
1621,chair,51497
1622,pc,24979
1623,iphone,99241
1624,phone,83000
1625,car,16150
1626,car,59950
1627,iphone,66086
1628,pc,
1629,chair,6366
1630,book,76692
1631,phone,23226
1632,iphone,95747
1633,car,50778
1634,iphone,42184
1635,book,54875
1636,book,99925
1637,pc,44939
1638,laptop,17481
1639,pc,91752
1640,iphone,91946
1641,book,93306
1642,iphone,82913
1643,pc,81810
1644,iphone,45258
1645,iphone,93113
1646,iphone,
1647,pc,91004
1648,iphone,15126
1649,car,62963
1650,book,87445
1651,iphone,98024
1652,car,55363
1653,car,13955
1654,chair,6955
1655,iphone,34993
1656,car,37567
1657,iphone,8130
1658,iphone,26738
1659,car,47013
1660,car,80754
1661,car,73647
1662,car,84819
1663,book,66967
1664,car,91242
1665,laptop,6157
1666,phone,89803
1667,laptop,
1668,chair,32943
1669,pc,58073
1670,car,83071
1671,iphone,48200
1672,car,96790
1673,book,95015
1674,pc,23255
1675,iphone,22779
1676,iphone,49440
1677,chair,72954
1678,laptop,76544
1679,car,43327
1680,phone,20290
1681,chair,42287
1682,book,81968
